Nombre,País,Pies,GLA,MLA,SLA,GLO,MLO,SLO
Nevado Ojos del Salado, Argentina Chile,,27,6,35,68,32,29
Monte Pissis, Argentina,,27,45,16.6,68,47,55.8
Cerro Bonete Chico, Argentina,,27,52,0,68,49,0
Nevado Tres Cruces Sur, Argentina Chile,,27,5,53,68,46,41
Volcán Llullaillaco, Argentina Chile,,24,43,47,68,32,45
Volcán Walther Penck, Argentina,,27,12,0,68,33,0
Volcán Incahuasi, Argentina Chile,,27,2,0,68,18,0
Nevado Tres Cruces Central, Argentina Chile,,27,4,7,68,47,11
Volcán Tupungato, Argentina Chile,,33,21,21,69,46,10.2
Nevado Sajama, Bolivia,,18,6,14,68,52,53
Volcán Ata, Argentina Chile,,27,10,55,68,34,34
